"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4503798,9591380,4608528,4982852,9313532,4489067,4824465,277848,119461,158387
"합계",종로구,소계,72409,149072,70833,78239,137449,65925,71524,11623,4908,6715
"합계",종로구,사직동,4587,9144,4053,5091,8915,3922,4993,229,131,98
"합계",종로구,삼청동,1069,2368,1148,1220,2122,1014,1108,246,134,112
"합계",종로구,부암동,4132,9204,4294,4910,8960,4194,4766,244,100,144
"합계",종로구,평창동,7102,17301,8025,9276,17097,7921,9176,204,104,100
"합계",종로구,무악동,2954,7731,3532,4199,7706,3519,4187,25,13,12
"합계",종로구,교남동,4320,9618,4407,5211,9468,4323,5145,150,84,66
"합계",종로구,가회동,1834,3750,1750,2000,3653,1697,1956,97,53,44
"합계",종로구,종로1.2.3.4가동,4905,8661,4997,3664,6641,4004,2637,2020,993,1027
"합계",종로구,종로5.6가동,3602,5891,3047,2844,5321,2751,2570,570,296,274
"합계",종로구,이화동,4450,7633,3483,4150,7089,3270,3819,544,213,331
"합계",종로구,창신1동,2651,5430,2863,2567,4444,2340,2104,986,523,463
"합계",종로구,창신2동,3888,8430,4307,4123,7176,3692,3484,1254,615,639
"합계",종로구,창신3동,2745,6377,3143,3234,6153,3012,3141,224,131,93
"합계",종로구,숭인1동,3011,6074,2927,3147,5721,2779,2942,353,148,205
"합계",종로구,숭인2동,7042,11417,5264,6153,10250,4971,5279,1167,293,874
"합계",종로구,청운효자동,4897,11096,5032,6064,10961,4962,5999,135,70,65
"합계",종로구,혜화동,9220,18947,8561,10386,15772,7554,8218,3175,1007,2168
"합계",중구,소계,64120,128899,61735,67164,118331,56829,61502,10568,4906,5662
"합계",중구,소공동,1230,3486,1681,1805,2177,998,1179,1309,683,626
"합계",중구,회현동,2424,4887,2513,2374,4208,2167,2041,679,346,333
"합계",중구,명동,1324,3405,1501,1904,2491,1021,1470,914,480,434
"합계",중구,필동,2814,5207,2594,2613,4314,2209,2105,893,385,508
"합계",중구,장충동,2937,5469,2773,2696,4588,2392,2196,881,381,500
"합계",중구,광희동,3938,7117,3422,3695,5691,2764,2927,1426,658,768
"합계",중구,을지로동,2053,3384,1784,1600,3000,1605,1395,384,179,205
"합계",중구,신당5동,5412,10330,4964,5366,9981,4833,5148,349,131,218
"합계",중구,황학동,7865,13995,6492,7503,13124,6130,6994,871,362,509
"합계",중구,중림동,5887,12293,6009,6284,11934,5841,6093,359,168,191
"합계",중구,신당동,4743,8900,4266,4634,7420,3615,3805,1480,651,829
"합계",중구,다산동,6734,13491,6500,6991,13042,6297,6745,449,203,246
"합계",중구,약수동,7701,16035,7385,8650,15800,7267,8533,235,118,117
"합계",중구,청구동,5085,10977,5106,5871,10788,5015,5773,189,91,98
"합계",중구,동화동,3973,9923,4745,5178,9773,4675,5098,150,70,80
"합계",용산구,소계,103214,215705,103270,112435,202507,96459,106048,13198,6811,6387
"합계",용산구,후암동,8275,16124,7717,8407,15663,7481,8182,461,236,225
"합계",용산구,용산2가동,4989,9908,4845,5063,8502,4188,4314,1406,657,749
"합계",용산구,남영동,4981,7481,4463,3018,6973,4233,2740,508,230,278
"합계",용산구,원효로2동,6272,13549,6297,7252,13415,6241,7174,134,56,78
"합계",용산구,효창동,4705,10571,4965,5606,10409,4897,5512,162,68,94
"합계",용산구,용문동,5306,11204,5278,5926,11085,5221,5864,119,57,62
"합계",용산구,이촌1동,9107,25450,11958,13492,24957,11693,13264,493,265,228
"합계",용산구,이촌2동,3566,7767,3632,4135,7717,3615,4102,50,17,33
"합계",용산구,이태원1동,3389,7415,3872,3543,5949,2946,3003,1466,926,540
"합계",용산구,이태원2동,4716,9933,4733,5200,8407,3984,4423,1526,749,777
"합계",용산구,서빙고동,5017,12826,6179,6647,12101,5809,6292,725,370,355
"합계",용산구,보광동,3894,7719,4012,3707,6826,3397,3429,893,615,278
"합계",용산구,청파동,11317,19561,8834,10727,18640,8586,10054,921,248,673
"합계",용산구,원효로1동,9376,17829,8208,9621,17087,7813,9274,742,395,347
"합계",용산구,한강로동,11281,22734,10817,11917,20985,9901,11084,1749,916,833
"합계",용산구,한남동,7023,15634,7460,8174,13791,6454,7337,1843,1006,837
"합계",성동구,소계,133109,282582,135983,146599,274424,132555,141869,8158,3428,4730
"합계",성동구,왕십리2동,7310,16126,7665,8461,15763,7514,8249,363,151,212
"합계",성동구,마장동,11021,22489,10787,11702,21485,10505,10980,1004,282,722
"합계",성동구,사근동,8356,14248,7154,7094,12016,6246,5770,2232,908,1324
"합계",성동구,행당1동,7165,15536,7331,8205,15223,7219,8004,313,112,201
"합계",성동구,행당2동,9135,22487,10453,12034,22385,10416,11969,102,37,65
"합계",성동구,응봉동,5857,14539,6886,7653,14458,6851,7607,81,35,46
"합계",성동구,금호1가동,6370,14379,6818,7561,14304,6785,7519,75,33,42
"합계",성동구,금호4가동,6327,14080,6621,7459,13904,6527,7377,176,94,82
"합계",성동구,성수1가1동,7308,15261,7540,7721,14967,7391,7576,294,149,145
"합계",성동구,성수1가2동,6565,13522,6552,6970,13243,6411,6832,279,141,138
"합계",성동구,성수2가1동,7308,14251,7347,6904,13732,7085,6647,519,262,257
"합계",성동구,성수2가3동,4989,9804,4817,4987,9522,4677,4845,282,140,142
"합계",성동구,송정동,5170,9693,5061,4632,9209,4827,4382,484,234,250
"합계",성동구,용답동,8199,13924,7039,6885,12911,6613,6298,1013,426,587
"합계",성동구,왕십리도선동,12005,26097,12241,13856,25602,12054,13548,495,187,308
"합계",성동구,금호2.3가동,9361,20785,9857,10928,20619,9783,10836,166,74,92
"합계",성동구,옥수동,10663,25361,11814,13547,25081,11651,13430,280,163,117
"합계",광진구,소계,171205,349660,166120,183540,331786,158814,172972,17874,7306,10568
"합계",광진구,화양동,18054,28291,12594,15697,22861,10778,12083,5430,1816,3614
"합계",광진구,군자동,11173,21357,10379,10978,18507,9070,9437,2850,1309,1541
"합계",광진구,중곡1동,8637,15433,7295,8138,14901,7058,7843,532,237,295
"합계",광진구,중곡2동,10479,20202,9484,10718,19791,9323,10468,411,161,250
"합계",광진구,중곡3동,8425,15563,7595,7968,15229,7466,7763,334,129,205
"합계",광진구,중곡4동,12963,27238,13136,14102,26781,12953,13828,457,183,274
"합계",광진구,능동,6446,11344,5239,6105,10804,4988,5816,540,251,289
"합계",광진구,구의1동,13239,23657,11131,12526,22875,10806,12069,782,325,457
"합계",광진구,구의2동,11491,25557,12089,13468,24913,11821,13092,644,268,376
"합계",광진구,구의3동,12067,27810,13109,14701,27546,12995,14551,264,114,150
