연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
1,1,150,서울역(1),2693673,1918276,1363503,1533520,1798355,1877204,2038227,1692129,1447763,1807644,1888033,1402334
2,1,151,시청(1),1293070,1016789,796522,782470,859599,931283,1010041,823577,766640,888395,958304,770691
3,1,152,종각,2276136,1806646,1376860,1478164,1625360,1763985,1929707,1513559,1283097,1584709,1637108,1223036
4,1,153,종로3가(1),1563603,1149824,885239,985726,1107878,1097876,1235093,977069,850783,1046285,1047124,773394
5,1,154,종로5가,1374568,1041800,863231,944564,1071374,1073479,1147911,922875,898529,1020950,1000503,849052
6,1,155,동대문(1),678244,497255,415440,474229,553463,540018,556511,450799,460154,549120,528028,418127
7,1,156,신설동(1),712833,609953,521043,548769,608510,638997,653515,525676,531783,601001,587896,512879
8,1,157,제기동,1062617,743164,637782,732189,801860,777475,820035,696658,805493,841643,823428,685236
9,1,158,청량리,1241350,907325,776232,866742,969501,962912,1010722,867914,906055,979705,962549,802200
10,1,159,동묘앞(1),504260,369274,341656,400430,454431,435295,438707,346596,388501,477861,432711,354536
11,2,201,시청(2),1075475,925271,766576,754860,791864,869770,930689,761191,719701,796234,869137,713018
12,2,202,을지로입구,2181015,1634168,1243291,1286564,1384004,1528176,1637322,1349913,1235686,1408880,1489711,1259388
13,2,203,을지로3가(2),971915,839144,669707,690216,729420,798012,875490,697925,635348,730822,778912,632981
14,2,204,을지로4가(2),532113,451236,386287,404821,435752,460849,486038,398621,407510,433665,455003,408498
15,2,205,동대문역사문화공원(2),659140,500393,367381,390414,444595,461364,485823,391600,377805,455895,454638,361304
16,2,206,신당(2),618806,526338,455314,479318,523490,532785,562591,477201,471504,526226,531851,452858
17,2,207,상왕십리,605287,520502,444028,465353,509103,536476,572122,483926,458452,518789,536169,448200
18,2,208,왕십리(2),717917,602484,491782,520206,573116,585496,634777,532051,479512,575094,582815,444076
19,2,209,한양대,360771,271126,229974,247033,279133,336947,304031,251932,247371,316295,331180,246809
20,2,210,뚝섬,864989,788527,729563,751338,778703,816407,885049,719336,706758,798924,833563,677093
21,2,211,성수,1394910,1283586,1195777,1202862,1230325,1322167,1423161,1185803,1155859,1260806,1335073,1137277
22,2,212,건대입구(2),1681271,1314077,1106329,1181607,1278475,1265522,1406952,1165842,1025199,1290792,1281367,946489
23,2,213,구의,976851,853356,754501,780507,836785,870060,915142,777350,730646,821816,842056,725664
24,2,214,강변,1717866,1263588,948343,1030026,1226425,1221878,1316464,1118230,953733,1192620,1175912,871850
25,2,215,잠실나루,640327,501841,411242,439434,497956,531907,568115,462821,434932,505364,516179,420466
26,2,216,잠실(2),3331168,2477304,1994303,2065523,2333769,2327263,2573056,2150579,1866348,2363573,2383270,1814784
27,2,217,잠실새내,950850,774767,618022,669667,740809,762216,816175,676812,608895,724305,734427,590874
28,2,218,종합운동장(2),409062,279811,202526,215177,260587,273423,303268,267452,219173,316314,305898,204552
29,2,219,삼성,2384469,1928533,1462338,1539104,1723317,1949897,2110779,1748863,1488002,1743297,1887350,1470169
30,2,220,선릉,2128726,1917515,1636794,1704078,1803597,1964972,2083633,1694778,1576413,1764949,1883101,1584080
31,2,221,역삼,2119959,1908476,1570188,1607449,1703788,1875590,2036966,1673099,1527307,1674512,1817684,1531490
32,2,222,강남,4219012,3441705,2644032,2849510,3044187,3168527,3631435,2923102,2358768,2951060,3062257,2248328
33,2,223,교대(2),1425964,1210816,1023679,1054254,1166783,1260404,1343736,1091809,1009657,1147721,1217049,976252
34,2,224,서초,891394,785042,606003,636253,745161,821356,825299,679619,629557,736601,806627,625374
35,2,225,방배,697630,584950,477897,510624,573433,617051,635167,523680,508324,606380,640993,480807
36,2,226,사당(2),1692241,1373329,1112368,1216619,1357670,1389077,1494128,1224217,1112302,1367361,1363849,1031176
37,2,227,낙성대,1175115,1010428,856065,911958,996923,1035221,1095802,940039,886560,1009327,1021890,846234
38,2,228,서울대입구,2078901,1784273,1494313,1588699,1746429,1799392,1925359,1633835,1503789,1757538,1762353,1430186
39,2,229,봉천,989328,868007,742377,787259,859676,882795,927834,809902,773016,860679,874917,745284
40,2,230,신림,2827970,2436872,2097656,2196050,2359007,2398497,2510121,2206589,2074701,2343778,2373344,2014819
41,2,231,신대방,1173346,992900,860146,912472,993321,1014929,1059627,928532,891771,997926,1002071,862968
42,2,232,구로디지털단지,2668546,2312812,1950262,2030549,2171805,2301803,2447892,2076762,1958211,2219957,2298865,1917789
43,2,233,대림(2),1142081,881160,743589,812635,913843,931078,977905,858031,829077,941072,937458,790306
44,2,234,신도림,2503167,2063576,1568995,1743970,1975765,2037750,2184257,1850197,1680419,1972703,2006197,1613440
45,2,235,문래,898429,786565,679888,714780,774579,833194,885228,732447,699266,792362,827446,682047
46,2,236,영등포구청(2),914116,818015,715385,741388,786582,842869,886936,742641,722504,803152,843477,727190
47,2,237,당산,834229,735468,636083,678354,722243,754230,791720,641818,621561,721756,728911,584845
48,2,238,합정(2),1462261,1257948,1030281,1100901,1168715,1218884,1327953,1098169,988754,1205971,1211088,908431
49,2,239,홍대입구,3693204,2765162,1888818,2073467,2045873,2108375,2495903,2085814,1687761,2308517,2227235,1502709
50,2,240,신촌,1966207,1554887,1144598,1226525,1300279,1324932,1529730,1278629,1038473,1306243,1313776,1010794
51,2,241,이대,701329,553127,369183,397501,460531,481061,518622,437774,401926,506581,521652,389543
52,2,242,아현,412979,346036,288477,309486,349818,374193,391522,329638,328762,375621,384087,315296
53,2,243,충정로(2),428649,381288,316402,316803,347295,369301,392012,323480,317126,354085,373324,307293
54,2,244,용답,104571,85510,77546,80482,89530,92204,98534,84259,82127,91448,95203,80149
55,2,245,신답,57684,50729,44858,46297,49730,52021,54302,45844,43672,49121,50461,43310
56,2,246,신설동(2),180856,148030,118874,126913,141042,139272,146624,120164,119866,137632,142708,117710
57,2,247,도림천,56767,51344,43349,45677,49371,54109,58855,50010,48555,52978,54358,50383
58,2,248,양천구청,330108,271107,216118,234700,266255,275890,297312,243688,234705,275017,279466,228995
59,2,249,신정네거리,447084,374979,313195,340672,383333,395013,421496,361007,346342,398120,401261,339425
60,2,250,용두,97596,78430,68834,71444,77764,79382,83245,73004,75426,76535,79123,71282
61,3,309,지축,96346,103895,109217,123129,136773,143964,150079,119594,117685,137149,136280,114570
62,3,310,구파발,998626,816746,666319,755187,837950,878510,931448,761413,732715,869563,849440,695812
63,3,311,연신내(3),1766016,1486348,1280527,1361479,1489377,1519517,1586874,1336948,1286124,1478075,1468847,1238592
64,3,312,불광(3),775644,644095,550488,592978,659142,669559,693919,587586,579752,673315,666253,556663
65,3,313,녹번,580813,492131,426134,449220,494791,539349,584695,495429,480866,545194,561782,478820
66,3,314,홍제,804089,673707,578274,625425,692585,711043,738409,617304,605367,699257,702401,585388
67,3,315,무악재,180060,152078,129753,138535,151713,158721,168056,140404,135691,157333,159296,134163
68,3,316,독립문,341209,264342,222856,253836,288846,290863,302560,252685,246148,308287,294818,235699
69,3,317,경복궁,1069143,785886,561192,626985,720455,738396,807425,652306,593187,778953,818276,564160
70,3,318,안국,1128400,840427,601536,656801,760102,796911,879567,686117,616062,819723,855071,572312
71,3,319,종로3가(3),550048,445954,379482,385127,406885,431784,478313,372183,346316,405727,419178,332891
72,3,320,을지로3가(3),456239,391100,316157,324271,349403,378112,410784,324622,304023,339066,358989,300045
73,3,322,동대입구,508195,356705,284327,295720,320848,338531,348651,295109,285011,343940,363117,281769
74,3,323,약수(3),594000,504712,423510,443356,487356,513930,545199,456623,432926,495354,506848,415764
75,3,324,금호,375586,317581,268230,286132,316325,326567,347698,294629,278666,318953,323643,268994
76,3,325,옥수,443219,365566,308591,337868,381992,395466,422061,348295,335060,387420,386895,310948
77,3,326,압구정,1687198,1394326,1126092,1180268,1302344,1383237,1506085,1275833,1198882,1335824,1367871,1164362
78,3,327,신사,1678142,1442592,1156618,1202187,1327794,1383942,1497911,1228986,1133819,1335981,1376372,1100705
79,3,328,잠원,275461,226804,179975,198798,230938,241344,251112,206356,188915,210916,201596,154882
80,3,329,고속터미널(3),2631674,1721050,1197781,1437012,1788600,1740254,1909456,1664014,1366175,1757669,1720149,1324007
81,3,330,교대(3),563024,475602,406078,421389,460979,502913,540922,431290,401747,463621,492246,390755
82,3,331,남부터미널,1685795,1335900,1043339,1120253,1257368,1315449,1436573,1203899,1080367,1265706,1326115,1050692
83,3,332,양재,1932793,1665177,1364526,1419567,1566342,1697421,1788046,1454414,1395807,1592044,1684763,1371590
84,3,333,매봉,539029,469323,401939,410847,447558,498827,531321,443690,422260,477712,509701,433580
85,3,334,도곡,253524,209643,165383,175295,202618,221928,233427,189212,183119,208455,220561,179478
86,3,335,대치,556976,453193,320564,355273,410553,428367,466779,404659,345901,424540,440702,338038
87,3,336,학여울,97588,78393,53796,58976,67321,97463,92599,67655,59136,84781,93095,56804
88,3,337,대청,430877,365759,297169,313847,349095,385480,409232,331847,312042,363363,377041,312391
89,3,338,일원,454665,364069,282029,307815,337904,377133,409839,338096,319556,370762,383818,319157
90,3,339,수서,825020,647863,494276,556160,656043,685965,732017,614655,554577,666437,693979,531081
91,3,340,가락시장(3),420046,333477,277265,298559,332690,352426,372935,307173,302078,337654,349350,286583
92,3,341,경찰병원,375572,315314,260824,274890,299162,324460,346686,288004,270267,303552,314814,268340
93,3,342,오금(3),265211,226293,188465,197551,217848,232782,245343,202313,192836,219509,225131,185098
94,4,409,당고개,522634,447317,394832,413539,457551,461604,492972,417731,407802,465506,460598,390860
95,4,410,상계,845360,721520,635885,661978,723003,744314,790627,666263,637647,729559,739319,626450
96,4,411,노원(4),890723,748490,608175,649610,717339,731138,776653,643603,580735,702206,707253,566675
97,4,412,창동,1318893,1101080,945647,984239,1101687,1143088,1218939,1011828,954644,1083060,1102751,913869
98,4,413,쌍문,1362091,1169936,1029382,1063130,1143107,1180906,1238830,1053020,1008424,1134671,1159567,998408
99,4,414,수유,1626958,1396775,1227863,1267810,1364221,1391836,1462957,1248841,1192155,1357461,1373313,1182927
100,4,415,미아,683400,586877,515328,533945,585714,612031,632302,530157,524329,591369,596348,509917
101,4,416,미아사거리,1305533,1105783,956972,1004895,1107531,1138805,1195244,1002847,961954,1101084,1113971,943860
102,4,417,길음,943706,778950,655625,689412,767977,822317,850535,699749,679354,790803,809093,663639
103,4,418,성신여대입구,975191,769843,660458,699065,786583,803113,854053,702105,654287,788514,800941,629631
104,4,419,한성대입구,652517,542961,456563,487186,548613,576165,601263,486651,478085,567341,589411,460960
105,4,420,혜화,1913327,1404362,1011226,1098706,1293369,1309900,1472711,1215478,1059837,1340022,1394008,981771
106,4,421,동대문(4),986800,791085,690640,757107,837567,857982,924066,690789,713252,803501,783903,682645
107,4,422,동대문역사문화공원(4),792301,602537,444769,460445,504533,518573,546548,448123,430676,509853,513713,421650
108,4,423,충무로(4),1263769,1058527,888708,894672,951807,1029550,1061855,865859,860845,957681,1006629,854528
109,4,424,명동,1704229,1130595,611752,636020,728440,775112,817618,658375,622506,784400,794855,609869
110,4,425,회현,1348572,1013560,813341,892925,1019639,1031003,1076230,778206,821791,955261,972631,815196
111,4,426,서울역(4),772209,595222,419159,457618,499598,545639,588817,476567,418244,506378,534498,403015
112,4,427,숙대입구,646759,548632,441771,461054,510184,544957,563617,469298,437361,510478,530154,412733
113,4,428,삼각지(4),223053,190585,157156,162253,175409,188654,198539,165295,153854,177150,183031,148458
114,4,429,신용산,774630,637636,522361,543928,588554,638534,694589,570150,517417,609631,651697,490104
115,4,430,이촌,453899,316223,230250,250215,303732,308496,344188,301952,261576,332122,326691,242998
116,4,431,동작,123129,102837,104004,116855,131658,135261,137131,107555,114715,125173,121494,98593
117,4,432,이수(총신대입구),1113255,925043,756484,813089,907376,935818,986132,828365,778930,894704,895030,732714
118,4,433,사당(4),1201032,977265,784942,854616,956663,972358,1047703,857647,775867,962162,965844,725450
119,4,434,남태령,63385,50597,35441,40431,48172,48858,54070,44997,43101,51415,51388,39539
120,5,2511,방화,301025,254201,214783,227354,250526,266070,282004,237309,222465,258363,260515,215117
121,5,2512,개화산,245911,211835,186029,188143,193032,200383,210906,179744,171877,196435,195566,169157
122,5,2513,김포공항(5),341336,232323,170359,180827,223820,238387,262980,257667,209165,273967,272529,215948
123,5,2514,송정,291079,240116,207644,223975,240456,243916,253444,218836,207607,240095,237693,199268
124,5,2515,마곡,282049,258517,241548,258204,284703,308048,328565,276506,270328,307468,325197,280562
125,5,2516,발산,794031,691495,562285,620733,679786,713151,740117,615348,573865,689313,715169,557348
126,5,2517,우장산,628726,521440,418146,450229,509676,547776,577808,476345,446886,524404,527994,429686
127,5,2518,화곡,1238837,1070669,925517,967030,1046845,1073329,1127474,965720,916829,1039398,1061776,904946
