연번,호선,고유역번호(외부역코드),역명,수송연월,수송인원수
1,1,150,서울역(1),2024-01,2644709
2,1,151,시청(1),2024-01,1335902
3,1,152,종각,2024-01,2112559
4,1,153,종로3가(1),2024-01,1203224
5,1,154,종로5가,2024-01,1264381
6,1,155,동대문(1),2024-01,536274
7,1,156,신설동(1),2024-01,642512
8,1,157,제기동,2024-01,905067
9,1,158,청량리,2024-01,1120700
10,1,159,동묘앞(1),2024-01,479324
11,2,201,시청(2),2024-01,1129177
12,2,202,을지로입구,2024-01,2120486
13,2,203,을지로3가(2),2024-01,1080598
14,2,204,을지로4가(2),2024-01,550622
15,2,205,동대문역사문화공원(2),2024-01,551438
16,2,206,신당(2),2024-01,631283
17,2,207,상왕십리,2024-01,617837
18,2,208,왕십리(2),2024-01,617792
19,2,209,한양대,2024-01,363826
20,2,210,뚝섬,2024-01,1113200
21,2,211,성수,2024-01,1931512
22,2,212,건대입구(2),2024-01,1483228
23,2,213,구의,2024-01,1002233
24,2,214,강변,2024-01,1230723
25,2,215,잠실나루,2024-01,631023
26,2,216,잠실(2),2024-01,3133164
27,2,217,잠실새내,2024-01,951673
28,2,218,종합운동장(2),2024-01,352435
29,2,219,삼성,2024-01,2257791
30,2,220,선릉,2024-01,2230802
31,2,221,역삼,2024-01,2267596
32,2,222,강남,2024-01,3329641
33,2,223,교대(2),2024-01,1275633
34,2,224,서초,2024-01,895196
35,2,225,방배,2024-01,615616
36,2,226,사당(2),2024-01,1652404
37,2,227,낙성대,2024-01,1128484
38,2,228,서울대입구,2024-01,1875086
39,2,229,봉천,2024-01,971447
40,2,230,신림,2024-01,2234856
41,2,231,신대방,2024-01,1056919
42,2,232,구로디지털단지,2024-01,2450369
43,2,233,대림(2),2024-01,1001496
44,2,234,신도림,2024-01,2229876
45,2,235,문래,2024-01,1030291
46,2,236,영등포구청(2),2024-01,944837
47,2,237,당산,2024-01,739668
48,2,238,합정(2),2024-01,1480815
49,2,239,홍대입구,2024-01,3342187
50,2,240,신촌,2024-01,1646378
51,2,241,이대,2024-01,641530
52,2,242,아현,2024-01,426186
53,2,243,충정로(2),2024-01,419910
54,2,244,용답,2024-01,107894
55,2,245,신답,2024-01,57297
56,2,246,신설동(2),2024-01,170143
57,2,247,도림천,2024-01,61028
58,2,248,양천구청,2024-01,313846
59,2,249,신정네거리,2024-01,475645
60,2,250,용두,2024-01,96808
61,3,309,지축,2024-01,336746
62,3,310,구파발,2024-01,973548
63,3,311,연신내(3),2024-01,1460968
64,3,312,불광(3),2024-01,710576
65,3,313,녹번,2024-01,652703
66,3,314,홍제,2024-01,787841
67,3,315,무악재,2024-01,196346
68,3,316,독립문,2024-01,323665
